Accession	ID	Name	TFs	EnsemblID
M00796	USF_Q6_01	USF	USF1;USF2	ENSG00000158773;ENSG00000105698
M00797	HIF1_Q3	HIF1	HIF1A	ENSG00000100644
M00799	MYC_Q2	Myc	MAX;MYC	ENSG00000125952;ENSG00000136997
M00800	AP2_Q3	AP-2	TFAP2A;TFAP2B;TFAP2C	ENSG00000137203;ENSG00000008196;ENSG00000087510
M00801	CREB_Q3	CREB	ATF1;ATF2;ATF3;ATF4;ATF7;CREB1;CREM;GDNF	ENSG00000123268;ENSG00000115966;ENSG00000162772;ENSG00000128272;ENSG00000170653;ENSG00000118260;ENSG00000095794;ENSG00000168621
M00802	PIT1_Q6	Pit-1	POU1F1	ENSG00000064835
M00803	E2F_Q2	E2F	E2F1;E2F2;E2F3;E2F4;TFDP1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000198176
M00804	E2A_Q2	E2A	MYF6;MYOD1;MYOG;TCF3	ENSG00000111046;ENSG00000129152;ENSG00000122180;ENSG00000071564
M00805	LEF1_Q2	TCF-7 related	HNF1A;LEF1;TCF3	ENSG00000135100;ENSG00000138795;ENSG00000071564
M00806	NF1_Q6_01	NF-1	NFIC;NFIX	ENSG00000141905;ENSG00000008441
M00807	EGR_Q6	Egr	EGR1;EGR2;EGR3	ENSG00000120738;ENSG00000122877;ENSG00000179388
M00808	PAX_Q6	Pax	PAX1;PAX2;PAX3;PAX4;PAX5;PAX6;PAX8	ENSG00000125813;ENSG00000075891;ENSG00000135903;ENSG00000106331;ENSG00000196092;ENSG00000007372;ENSG00000125618
M00809	FOX_Q2	FOX factors	FOXD3;FOXF1;FOXF2;FOXH1;FOXJ1	ENSG00000187140;ENSG00000103241;ENSG00000137273;ENSG00000160973;ENSG00000129654
M00810	SRF_Q4	SRF	SRF	ENSG00000112658
M00821	NRF2_Q4	Nrf-2	MAFK;NFE2L2	ENSG00000198517;ENSG00000116044
