Accession	ID	Name	TFs	EnsemblID
M03944	ZFP740_05	Zfp740	ZNF740	ENSG00000139651
M03945	CENPB_01	CENPB	CENPB	ENSG00000125817
M03946	GRHL1_01	GRHL1	GRHL1	ENSG00000134317
M03947	GRHL1_02	GRHL1	GRHL1	ENSG00000134317
M03948	TFCP2_02	TFCP2	TFCP2	ENSG00000135457
M03949	TFCP2_03	TFCP2	TFCP2	ENSG00000135457
M03950	CUX1_06	CDP	CUX1	ENSG00000257923
M03951	CUX1_05	CDP	CUX1	ENSG00000257923
M03952	CUX1_07	CDP	CUX1	ENSG00000257923
M03953	CUX2_02	CUX2	CUX2	ENSG00000111249
M03954	CUX2_03	CUX2	CUX2	ENSG00000111249
M03955	ONECUT1_01	ONECUT1	ONECUT1	ENSG00000169856
M03956	ONECUT2_01	ONECUT2	ONECUT2	ENSG00000119547
M03957	ONECUT3_01	ONECUT3	ONECUT3	ENSG00000205922
M03958	E2F2_05	E2F2	E2F2	ENSG00000007968
M03959	E2F2_06	E2F2	E2F2	ENSG00000007968
M03960	E2F3_02	E2F-3	E2F3	ENSG00000112242
M03961	E2F3_04	E2F-3	E2F3	ENSG00000112242
M03962	E2F3_05	E2F-3	E2F3	ENSG00000112242
M03963	E2F7_01	E2F7	E2F7	ENSG00000165891
M03964	EBF1_03	EBF1	EBF1	ENSG00000164330
M03965	EHF_08	EHF	EHF	ENSG00000135373
M03966	ELF1_02	ELF1	ELF1	ENSG00000120690
M03967	ELF3_02	ELF3	ELF3	ENSG00000163435
M03968	ELF4_05	ELF4	ELF4	ENSG00000102034
M03969	ELF5_05	ELF5	ELF5	ENSG00000135374
M03970	ELK1_08	ELK1	ELK1	ENSG00000126767
M03971	ELK1_09	ELK1	ELK1	ENSG00000126767
M03972	ELK3_01	ELK3	ELK3	ENSG00000111145
M03973	ELK4_02	ELK4	ELK4	ENSG00000158711
M03974	ERF_03	ERF	ERF	ENSG00000105722
M03975	ERG_04	ERG	ERG	ENSG00000157554
M03976	ERG_05	ERG	ERG	ENSG00000157554
M03977	ETS1_02	ETS1	ETS1	ENSG00000134954
M03978	ETS1_03	ETS1	ETS1	ENSG00000134954
M03979	ETV1_01	ETV1	ETV1	ENSG00000006468
M03980	ETV2_01	ETV2	ETV2	ENSG00000105672
M03981	ETV3_03	ETV3	ETV3	ENSG00000117036
M03982	ETV4_01	ETV4	ETV4	ENSG00000175832
M03983	ETV5_01	ETV5	ETV5	ENSG00000244405
M03984	ETV6_01	ETV6	ATM;ETV6	ENSG00000149311;ENSG00000139083
M03985	ETV6_02	ETV6	ATM;ETV6	ENSG00000149311;ENSG00000139083
M03986	ELK3_02	Elk3	ELK3	ENSG00000111145
M03987	FEV_02	FEV	FEV	ENSG00000163497
M03988	FLI1_03	FLI1	FLI1	ENSG00000151702
M03989	FLI1_04	FLI1	FLI1	ENSG00000151702
M03990	GABPA_06	GABPA	GABPA	ENSG00000154727
M03991	SPDEF_05	SPDEF	SPDEF	ENSG00000124664
M03992	SPDEF_06	SPDEF	SPDEF	ENSG00000124664
M03993	SPDEF_07	SPDEF	SPDEF	ENSG00000124664
M03994	SPI1_06	SPI1	SPI1	ENSG00000066336
M03995	SPIB_06	SPIB	SPIB	ENSG00000269404
M03996	SPIC_03	SPIC	SPIC	ENSG00000166211
M03997	GATA3_07	GATA3	GATA3	ENSG00000107485
M03998	GATA4_02	GATA4	GATA4	ENSG00000136574
M03999	GATA5_05	GATA5	GATA5	ENSG00000130700
M04000	GCM1_05	GCM1	GCM1	ENSG00000137270
M04001	GCM1_06	GCM1	GCM1	ENSG00000137270
M04002	GCM2_01	GCMb	GCM2	ENSG00000124827
M04003	LEF1_05	LEF-1	LEF1	ENSG00000138795
M04004	SOX9_02	Sox-9	SOX9	ENSG00000125398
M04005	TCF7L1_01	TCF7L1	TCF3;TCF7L1	ENSG00000071564;ENSG00000152284
M04006	TCF7_05	Tcf7	HNF1A;TCF7	ENSG00000135100;ENSG00000081059
M04007	HOMEZ_03	HOMEZ	HOMEZ	ENSG00000215271
M04008	HSF1_02	HSF1	HSF1	ENSG00000185122
M04009	HSF2_04	HSF2	HSF2	ENSG00000025156
M04010	HSF4_01	HSF4	HSF4	ENSG00000102878
M04011	HSFY1_01	HSFY1	HSFY1	ENSG00000172468
M04012	HSFY1_02	HSFY1	HSFY1	ENSG00000172468
M04013	HSFY1_03	HSFY1	HSFY1	ENSG00000172468
M04014	IRF3_07	IRF3	IRF3	ENSG00000126456
M04015	IRF4_05	IRF-4	IRF4	ENSG00000137265
M04016	IRF5_05	IRF5	IRF5	ENSG00000128604
M04017	IRF5_06	IRF5	IRF5	ENSG00000128604
M04018	IRF7_03	IRF7	IRF3;IRF7	ENSG00000126456;ENSG00000185507
M04019	IRF7_04	IRF7	IRF3;IRF7	ENSG00000126456;ENSG00000185507
M04020	IRF8_01	IRF8	IRF3;IRF8	ENSG00000126456;ENSG00000140968
M04021	IRF9_01	IRF9	IRF9	ENSG00000213928
M04022	MEF2A_03	MEF-2A	MEF2A	ENSG00000068305
M04023	MEF2B_01	MEF-2B	MEF2B	ENSG00000213999
M04024	MEF2D_01	MEF-2D	MEF2D	ENSG00000116604
M04025	SRF_07	SRF	SRF	ENSG00000112658
M04026	SMAD3_02	SMAD3	SMAD3	ENSG00000166949
M04027	MEIS1_04	MEIS1	MEIS1	ENSG00000143995
M04028	MEIS2_05	MEIS2	MEIS2	ENSG00000134138
M04029	MEIS2_06	MEIS2	MEIS2	ENSG00000134138
M04030	MEIS3_02	MEIS3	MEIS3	ENSG00000105419
M04031	MEIS3_03	MEIS3	MEIS3	ENSG00000105419
M04032	MEIS2_07	Meis2	MEIS2	ENSG00000134138
M04033	MEIS2_08	Meis2	MEIS2	ENSG00000134138
M04034	MEIS3_04	Meis3	MEIS3	ENSG00000105419
M04035	MEIS3_05	Meis3	MEIS3	ENSG00000105419
M04036	PKNOX1_02	PKNOX1	PKNOX1	ENSG00000160199
M04037	PKNOX2_03	PKNOX2	PKNOX2	ENSG00000165495
M04038	PKNOX2_04	Pknox2	PKNOX2	ENSG00000165495
M04039	TGIF1_03	TGIF1	TGIF1	ENSG00000177426
M04040	TGIF2LX_01	TGIF2LX	TGIF2LX	ENSG00000153779
M04041	TGIF2_03	TGIF2	TGIF2	ENSG00000118707
M04042	MYBL1_05	MYBL1	MYBL1	ENSG00000185697
M04043	MYBL1_06	MYBL1	MYBL1	ENSG00000185697
M04044	MYBL1_07	MYBL1	MYBL1	ENSG00000185697
M04045	MYBL1_08	MYBL1	MYBL1	ENSG00000185697
M04046	MYBL2_02	MYBL2	MYBL2	ENSG00000101057
M04047	MYBL2_03	MYBL2	MYBL2	ENSG00000101057
M04048	MYBL2_04	MYBL2	MYBL2	ENSG00000101057
M04049	MYBL2_05	MYBL2	MYBL2	ENSG00000101057
M04050	NFAT5_02	NFAT5	NFAT5	ENSG00000102908
M04051	NFATC1_01	NFATc1	NFATC1	ENSG00000131196
M04052	NFATC1_02	NFATc1	NFATC1	ENSG00000131196
M04053	NFATC1_03	NFATc1	NFATC1	ENSG00000131196
M04054	NFKB1_02	NF-kappaB	NFKB1	ENSG00000109320
M04055	NFKB2_01	NFKB2	NFKB2	ENSG00000077150
M04056	NFIA_01	NF-1A	NFIA;NFIX	ENSG00000162599;ENSG00000008441
M04057	NFIB_01	NFIB	NFIB	ENSG00000147862
M04058	NFIX_02	NFIX	NFIX	ENSG00000008441
M04059	NRF1_02	NRF-1	NRF1	ENSG00000106459
M04060	PAX1_01	Pax-1	PAX1	ENSG00000125813
M04061	PAX2_05	Pax-2	PAX2	ENSG00000075891
M04062	PAX3_02	Pax-3	PAX3	ENSG00000135903
M04063	PAX4_07	Pax-4	PAX4	ENSG00000106331
M04064	PAX5_05	Pax-5	PAX5	ENSG00000196092
M04065	PAX6_05_01	Pax-6	PAX6	ENSG00000007372
M04066	PAX7_03	Pax-7	PAX7	ENSG00000009709
M04067	PAX9_01	Pax-9	PAX9	ENSG00000198807
M04068	POU1F1_03	POU1F1	POU1F1	ENSG00000064835
M04069	POU1F1_04	POU1F1	POU1F1	ENSG00000064835
M04070	POU2F1_02	POU2F1	POU2F1	ENSG00000143190
M04071	POU2F1_03	POU2F1	POU2F1	ENSG00000143190
M04072	POU2F2_02	POU2F2	POU2F2	ENSG00000028277
M04073	POU2F2_03	POU2F2	POU2F2	ENSG00000028277
M04074	POU2F3_03	POU2F3	POU2F3	ENSG00000137709
M04075	POU2F3_04	POU2F3	POU2F3	ENSG00000137709
M04076	POU3F1_02	POU3F1	POU3F1	ENSG00000185668
M04077	POU3F1_03	POU3F1	POU3F1	ENSG00000185668
M04078	POU3F2_04	POU3F2	POU3F2	ENSG00000184486
M04079	POU3F2_05	POU3F2	POU3F2	ENSG00000184486
M04080	POU3F3_02	POU3F3	POU3F3	ENSG00000198914
M04081	POU3F3_03	POU3F3	POU3F3	ENSG00000198914
M04082	POU3F3_04	POU3F3	POU3F3	ENSG00000198914
M04083	POU3F4_02	POU3F4	POU3F4	ENSG00000196767
M04084	POU3F4_03	POU3F4	POU3F4	ENSG00000196767
M04085	POU4F1_01	POU4F1	POU4F1	ENSG00000152192
M04086	POU4F2_01	Brn-3b	POU4F2	ENSG00000151615
M04087	POU4F3_02	POU4F3	POU4F3	ENSG00000091010
M04088	POU5F1B_01	POU5F1B	POU5F1B	ENSG00000212993
M04089	POU5F1B_02	POU5F1B	POU5F1B	ENSG00000212993
M04090	POU6F2_01	POU6F2	POU6F2	ENSG00000106536
M04091	POU6F2_02	POU6F2	POU6F2	ENSG00000106536
M04092	POU2F2_04	Pou2f2	POU2F2	ENSG00000028277
M04093	POU2F2_05	Pou2f2	POU2F2	ENSG00000028277
M04094	PROX1_01	Prox-1	PROX1	ENSG00000117707
M04095	RFX2_01	RFX2	RFX2	ENSG00000087903
M04096	RFX2_02	RFX2	RFX2	ENSG00000087903
M04097	RFX3_06	RFX3	RFX3	ENSG00000080298
M04098	RFX3_07	RFX3	RFX3	ENSG00000080298
M04099	RFX4_05	RFX4	RFX4	ENSG00000111783
M04100	RFX4_06	RFX4	RFX4	ENSG00000111783
M04101	RFX5_01	RFX5	RFX5	ENSG00000143390
M04102	RFX5_02	RFX5	RFX5	ENSG00000143390
M04103	RFX2_03	Rfx2	RFX2	ENSG00000087903
M04104	RFX2_04	Rfx2	RFX2	ENSG00000087903
M04105	RFX3_08	Rfx3	RFX3	ENSG00000080298
M04106	RUNX2_01	RUNX2	RUNX2	ENSG00000124813
M04107	RUNX2_02	RUNX2	RUNX2	ENSG00000124813
M04108	RUNX2_03	RUNX2	RUNX2	ENSG00000124813
M04109	RUNX3_01	RUNX3	RUNX3	ENSG00000020633
M04110	RUNX3_02	RUNX3	RUNX3	ENSG00000020633
M04111	RUNX3_03	RUNX3	RUNX3	ENSG00000020633
M04112	GMEB2_01	GMEB2	GMEB2	ENSG00000101216
M04113	GMEB2_02	GMEB2	GMEB2	ENSG00000101216
M04114	GMEB2_03	GMEB2	GMEB2	ENSG00000101216
M04115	EOMES_05	EOMES	EOMES	ENSG00000163508
M04116	EOMES_06	EOMES	EOMES	ENSG00000163508
M04117	MGA_01	MGA	MGA	ENSG00000174197
M04118	MGA_02	MGA	MGA	ENSG00000174197
M04119	MGA_03	MGA	MGA	ENSG00000174197
M04120	TBR1_01	TBR1	TBR1	ENSG00000136535
M04121	TBX15_03	TBX15	TBX15	ENSG00000092607
M04122	TBX15_04	TBX15	TBX15	ENSG00000092607
M04123	TBX19_01	TBX19	TBX19	ENSG00000143178
M04124	TBX1_01	TBX1	TBX1	ENSG00000184058
M04125	TBX1_02	TBX1	TBX1	ENSG00000184058
M04126	TBX1_03	TBX1	TBX1	ENSG00000184058
M04127	TBX1_04	TBX1	TBX1	ENSG00000184058
M04128	TBX1_05	TBX1	TBX1	ENSG00000184058
M04129	TBX20_01	TBX20	TBX20	ENSG00000164532
M04130	TBX21_01	TBX21	TBX21	ENSG00000073861
M04131	TBX21_02	TBX21	TBX21	ENSG00000073861
M04132	TBX21_03	TBX21	TBX21	ENSG00000073861
M04133	TBX2_01	TBX2	TBX2	ENSG00000121068
M04134	TBX2_02	TBX2	TBX2	ENSG00000121068
M04135	TBX4_01	TBX4	TBX4	ENSG00000121075
M04136	TBX4_02	TBX4	TBX4	ENSG00000121075
M04137	TBX5_03	Tbx5	TBX5	ENSG00000089225
M04138	TBX5_04	Tbx5	TBX5	ENSG00000089225
M04140	BRACH_02	T (Brachyury)	T	ENSG00000164458
M04141	TEAD1_03	TEAD1	TEAD1	ENSG00000187079
M04142	TEAD1_04	TEAD1	TEAD1	ENSG00000187079
M04143	TEAD3_01	TEAD3	TEAD3	ENSG00000007866
M04144	TEAD3_02	TEAD3	TEAD3	ENSG00000007866
M04145	TEAD4_01	TEAD4	TEAD4	ENSG00000197905
M04146	TFAP2A_02	TFAP2A	TFAP2A	ENSG00000137203
M04147	TFAP2A_03	TFAP2A	TFAP2A	ENSG00000137203
M04148	TFAP2A_04	TFAP2A	TFAP2A	ENSG00000137203
M04149	TFAP2B_02	TFAP2B	TFAP2B	ENSG00000008196
M04150	TFAP2B_03	TFAP2B	TFAP2B	ENSG00000008196
M04151	TFAP2B_04	TFAP2B	TFAP2B	ENSG00000008196
M04152	TFAP2C_01	TFAP2C	TFAP2C	ENSG00000087510
M04153	TFAP2C_02	TFAP2C	TFAP2C	ENSG00000087510
M04154	TFAP2C_03	TFAP2C	TFAP2C	ENSG00000087510
M04155	TFAP2A_05	Tfap2a	TFAP2A	ENSG00000137203
M04156	TFAP2A_06	Tfap2a	TFAP2A	ENSG00000137203
M04157	TFAP2A_07	Tfap2a	TFAP2A	ENSG00000137203
M04158	ARNTL_01	ARNTL	ARNTL	ENSG00000133794
M04159	ASCL2_05	Ascl2	ASCL2	ENSG00000183734
M04160	ATOH1_01	Atoh1	ATOH1	ENSG00000172238
M04161	BHLHA15_01	BHLHA15	BHLHA15	ENSG00000180535
M04162	BHLHE40_01	BHLHE40	BHLHE40	ENSG00000134107
M04163	BHLHE41_01	BHLHE41	BHLHE41	ENSG00000123095
M04164	BHLHE22_01	BHLHE22	BHLHE22	ENSG00000180828
M04165	BHLHE23_01	BHLHE23	BHLHE23	ENSG00000125533
M04166	BHLHE41_02	BHLHE41	BHLHE41	ENSG00000123095
M04167	BHLHE40_02	Bhlhe40	BHLHE40	ENSG00000134107
M04168	CLOCK_01	CLOCK	CLOCK	ENSG00000134852
M04169	FIGLA_01	FIGLA	FIGLA	ENSG00000183733
M04170	HES5_01	HES-5	HES5	ENSG00000197921
M04171	HES7_01	HES-7	HES7	ENSG00000179111
M04172	HEY1_01	HEY1	HEY1	ENSG00000164683
M04173	HEY2_01	HEY2	HEY2	ENSG00000135547
M04174	ID4_01	ID4	ID4	ENSG00000172201
M04175	MAX_07	MAX	MAX	ENSG00000125952
M04176	MAX_08	MAX	MAX	ENSG00000125952
M04177	MESP1_01	MESP1	MESP1	ENSG00000166823
M04178	MLXIPL_01	MLXIPL	MLXIPL	ENSG00000009950
M04179	MLX_01	MLX	MLX	ENSG00000108788
M04180	MNT_01	MNT	MNT	ENSG00000070444
M04181	MYF6_05	MYF6	MYF6	ENSG00000111046
M04182	NEUROD2_01	NEUROD2	NEUROD2	ENSG00000171532
M04183	NEUROG2_01	Ngn-2	NEUROG2	ENSG00000178403
M04184	NHLH1_02	NHLH1	NHLH1	ENSG00000171786
M04185	OLIG1_01	OLIG1	OLIG1	ENSG00000184221
M04186	OLIG2_01	OLIG2	OLIG2	ENSG00000205927
M04187	OLIG3_01	OLIG3	OLIG3	ENSG00000177468
M04188	SREBF2_01	SREBF2	SREBF2	ENSG00000198911
M04189	SREBF1_01	SREBP-1	SREBF1	ENSG00000072310
M04190	E2A_03	E2A	TCF3	ENSG00000071564
M04191	ITF2_01	ITF-2	TCF4	ENSG00000196628
M04192	TFAP4_02	TFAP4	TFAP4	ENSG00000090447
M04193	TFE3_01	TFE3	TFE3	ENSG00000068323
M04194	TFEB_02	TFEB	TFEB	ENSG00000112561
M04195	TCF21_01	Tcf21	TCF21	ENSG00000118526
M04196	USF1_02	USF1	USF1	ENSG00000158773
M04197	ATF4_02	ATF4	ATF4	ENSG00000128272
M04198	ATF7_01	ATF7	ATF7	ENSG00000170653
M04199	ATF4_03	Atf4	ATF4	ENSG00000128272
M04200	BATF3_01	BATF3	BATF3	ENSG00000123685
M04201	CEBPB_03	CEBPB	CEBPB	ENSG00000172216
M04202	CEBPD_01	CEBPD	CEBPD	ENSG00000221869
M04203	CEBPE_02	CEBPE	CEBPE	ENSG00000092067
M04204	CEBPG_01	CEBPG	CEBPG	ENSG00000153879
M04205	CREB3L1_01	CREB3L1	CREB3L1	ENSG00000157613
M04206	CREB3_01	CREB3	CREB3	ENSG00000107175
M04207	CREB3_02	CREB3	CREB3	ENSG00000107175
M04208	CREB3L2_01	Creb3l2	CREB3L2	ENSG00000182158
M04209	CREB3L2_02	Creb3l2	CREB3L2	ENSG00000182158
M04210	CREB5_01	Creb5	CREB5	ENSG00000146592
M04211	DBP_02	DBP	DBP	ENSG00000105516
M04212	HLF_04	HLF	HLF	ENSG00000108924
M04213	JDP2_01	JDP2	JDP2	ENSG00000140044
M04214	JDP2_02	JDP2	JDP2	ENSG00000140044
M04215	MAFF_01	MAFF	MAFF	ENSG00000185022
M04216	MAFG_01	MAFG	MAFG	ENSG00000197063
M04217	MAFK_05	MAFK	MAFK	ENSG00000198517
M04218	MAFK_06	MAFK	MAFK	ENSG00000198517
M04219	MAFB_06	Mafb	MAFB	ENSG00000204103
M04220	MAFB_07	MafB	MAFB	ENSG00000204103
M04221	MAFB_08	MafB	MAFB	ENSG00000204103
M04222	NFE2_03	NFE2	NFE2	ENSG00000123405
M04223	NFIL3_03	NFIL3	NFIL3	ENSG00000165030
M04224	NRL_01	NRL	NRL	ENSG00000129535
M04225	TEF_03	TEF	TEF	ENSG00000167074
M04226	TEF_04	TEF	TEF	ENSG00000167074
M04227	XBP1_04	XBP-1	XBP1	ENSG00000100219
M04228	XBP1_05	XBP1	XBP1	ENSG00000100219
M04229	FOXB1_01	FOXB1	FOXB1	ENSG00000171956
M04230	FOXB1_02	FOXB1	FOXB1	ENSG00000171956
M04231	FOXB1_03	FOXB1	FOXB1	ENSG00000171956
M04232	FOXC1_02	FOXC1	FOXC1	ENSG00000054598
M04233	FOXC1_03	FOXC1	FOXC1	ENSG00000054598
M04234	FOXC1_04	FOXC1	FOXC1	ENSG00000054598
M04235	FOXC2_01	FOXC2	FOXC2	ENSG00000176692
M04236	FOXC2_02	FOXC2	FOXC2	ENSG00000176692
M04237	FOXC2_03	FOXC2	FOXC2	ENSG00000176692
M04238	FOXD2_01	FOXD2	FOXD2	ENSG00000186564
M04239	FOXD2_02	FOXD2	FOXD2	ENSG00000186564
M04240	FOXD3_04	FOXD3	FOXD3	ENSG00000187140
M04241	FOXD3_05	FOXD3	FOXD3	ENSG00000187140
M04242	FOXG1_01	FOXG1	FOXG1	ENSG00000176165
M04243	FOXG1_02	FOXG1	FOXG1	ENSG00000176165
M04244	FOXI1_02	FOXI1	FOXI1	ENSG00000168269
M04245	FOXI1_03	FOXI1	FOXI1	ENSG00000168269
M04246	FOXJ2_03	FOXJ2	FOXJ2	ENSG00000065970
M04247	FOXJ2_04	FOXJ2	FOXJ2	ENSG00000065970
M04248	FOXJ2_05	FOXJ2	FOXJ2	ENSG00000065970
M04249	FOXJ3_07	FOXJ3	FOXJ3	ENSG00000198815
M04250	FOXJ3_08	FOXJ3	FOXJ3	ENSG00000198815
M04251	FOXJ3_09	FOXJ3	FOXJ3	ENSG00000198815
M04252	FOXK1_05	FOXK1	FOXK1	ENSG00000164916
M04253	FOXL1_05	FOXL1	FOXL1	ENSG00000176678
M04254	FOXL1_06	FOXL1	FOXL1	ENSG00000176678
M04255	FOXO1_05	FOXO1	FOXO1	ENSG00000150907
M04256	FOXO1_06	FOXO1	FOXO1	ENSG00000150907
M04257	FOXO1_07	FOXO1	FOXO1	ENSG00000150907
M04258	FOXO3_03	FOXO3	FOXO3	ENSG00000118689
M04259	FOXO3_04	FOXO3	FOXO3	ENSG00000118689
M04260	FOXO3_05	FOXO3	FOXO3	ENSG00000118689
M04261	FOXO4_03	FOXO4	FOXO4	ENSG00000184481
M04262	FOXO4_04	FOXO4	FOXO4	ENSG00000184481
M04263	FOXO4_05	FOXO4	FOXO4	ENSG00000184481
M04264	FOXO6_01	FOXO6	FOXO6	ENSG00000281518
M04265	FOXO6_02	FOXO6	FOXO6	ENSG00000281518
M04266	FOXO6_03	FOXO6	FOXO6	ENSG00000281518
M04267	FOXP3_03	FOXP3	FOXP3	ENSG00000049768
M04268	FOXC1_05	Foxc1	FOXC1	ENSG00000054598
M04269	FOXC1_06	Foxc1	FOXC1	ENSG00000054598
M04270	FOXG1_03	Foxg1	FOXG1	ENSG00000176165
M04271	FOXG1_04	Foxg1	FOXG1	ENSG00000176165
M04272	FOXG1_05	Foxg1	FOXG1	ENSG00000176165
M04273	FOXJ3_10	Foxj3	FOXJ3	ENSG00000198815
M04274	FOXJ3_11	Foxj3	FOXJ3	ENSG00000198815
M04275	FOXJ3_12	Foxj3	FOXJ3	ENSG00000198815
M04276	FOXJ3_13	Foxj3	FOXJ3	ENSG00000198815
M04277	FOXK1_06	Foxk1	FOXK1	ENSG00000164916
M04278	FOXK1_07	Foxk1	FOXK1	ENSG00000164916
M04279	ALX3_03	ALX3	ALX3	ENSG00000156150
M04280	ALX3_04	ALX3	ALX3	ENSG00000156150
M04281	ALX4_05	ALX4	ALX4	ENSG00000052850
M04282	ARX_03	ARX	ARX	ENSG00000004848
M04283	ALX1_05	Alx1	ALX1	ENSG00000180318
M04284	ALX1_06	Alx1	ALX1	ENSG00000180318
M04285	ALX4_06	Alx4	ALX4	ENSG00000052850
M04286	ARX_04	Arx	ARX	ENSG00000004848
M04287	BARHL2_03	BARHL2	BARHL2	ENSG00000143032
M04288	BARHL2_04	BARHL2	BARHL2	ENSG00000143032
M04289	BARHL2_05	BARHL2	BARHL2	ENSG00000143032
M04290	BARX1_03	BARX1	BARX1	ENSG00000131668
M04291	BARX1_04	BARX1	BARX1	ENSG00000131668
M04292	BSX_03	BSX	BSX	ENSG00000188909
M04293	BARHL1_03	Barhl1	BARHL1	ENSG00000125492
M04294	BARHL1_04	Barhl1	BARHL1	ENSG00000125492
M04295	BARHL1_05	Barhl1	BARHL1	ENSG00000125492
M04296	ALX1_07	ALX1	ALX1	ENSG00000180318
M04297	CDX1_03	CDX1	CDX1	ENSG00000113722
M04298	CDX2_03	Cdx-2	CDX2	ENSG00000165556
M04299	DLX1_03	Dlx-1	DLX1	ENSG00000144355
M04300	DLX2_03	Dlx-2	DLX2	ENSG00000115844
M04301	DLX3_04	dlx-3	DLX3	ENSG00000064195
M04302	DLX4_02	Dlx-4	DLX4	ENSG00000108813
M04303	DLX5_03	Dlx-5	DLX5	ENSG00000105880
M04304	DLX6_01	Dlx-6	DLX6	ENSG00000006377
M04305	DMBX1_02	DMBX1	CRX;DMBX1	ENSG00000105392;ENSG00000197587
M04306	DPRX_01	DPRX	DPRX	ENSG00000204595
M04307	DPRX_02	DPRX	DPRX	ENSG00000204595
M04308	DRGX_01	DRGX	DRGX	ENSG00000165606
M04309	DUXA_01	DUXA	DUXA	ENSG00000258873
M04310	DLX1_04	Dlx-1	DLX1	ENSG00000144355
M04311	DLX2_04	Dlx-2	DLX2	ENSG00000115844
M04312	EMX1_01	EMX1	EMX1	ENSG00000135638
M04313	EMX1_02	EMX1	EMX1	ENSG00000135638
M04314	EMX2_03	EMX2	EMX2	ENSG00000170370
M04315	EMX2_04	EMX2	EMX2	ENSG00000170370
M04316	EN1_07	EN1	EN1	ENSG00000163064
M04317	EN1_08	EN1	EN1	ENSG00000163064
M04318	EN2_03	EN2	EN2	ENSG00000164778
M04319	ESX1_03	ESX1	ESX1	ENSG00000123576
M04320	EVX1_03	EVX1	EVX1	ENSG00000106038
M04321	EVX2_03	EVX2	EVX2	ENSG00000174279
M04322	GBX1_03	GBX1	GBX1	ENSG00000164900
M04323	GBX2_03	GBX2	GBX2	ENSG00000168505
M04324	GBX2_04	GBX2	GBX2	ENSG00000168505
M04325	GSC2_01	GSC2	GSC2	ENSG00000063515
M04326	GSC_03	GSC	GSC	ENSG00000133937
M04327	GSX1_01	GSX1	GSX1	ENSG00000169840
M04328	GSX2_02	GSX2	GSX2	ENSG00000180613
M04329	GBX1_04	Gbx1	GBX1	ENSG00000164900
M04330	HESX1_01	HESX1	HESX1	ENSG00000163666
M04331	HESX1_02	HESX1	HESX1	ENSG00000163666
M04332	HMBOX1_03	HMBOX1	HMBOX1	ENSG00000147421
M04333	HMX1_05	HMX1	HMX1	ENSG00000215612
M04334	HMX2_02	HMX2	HMX2	ENSG00000188816
M04335	HMX3_03	HMX3	HMX3	ENSG00000188620
M04336	HNF1A_03	HNF1A	HNF1A	ENSG00000135100
M04337	HNF1B_06	HNF1B	HNF1B	ENSG00000275410
M04338	HNF1B_07	HNF1B	HNF1B	ENSG00000275410
M04339	HOXA10_03	HOXA10	HOXA10	ENSG00000253293
M04340	HOXA10_04	HOXA10	HOXA10	ENSG00000253293
M04341	HOXA13_05	HOXA13	HOXA13	ENSG00000106031
M04342	HOXA13_06	HOXA13	HOXA13	ENSG00000106031
M04343	HOXA1_03	HOXA1	HOXA1	ENSG00000105991
M04344	HOXA2_03	HOXA2	HOXA2	ENSG00000105996
M04345	HOXB13_03	HOXB13	HOXB13	ENSG00000159184
M04346	HOXB13_04	HOXB13	HOXB13	ENSG00000159184
M04347	HOXB2_01	HOXB2	HOXB2	ENSG00000173917
M04348	HOXB3_03	HOXB3	HOXB3	ENSG00000120093
M04349	HOXB5_03	HOXB5	HOXB5	ENSG00000120075
M04350	HOXC10_03	HOXC10	HOXC10	ENSG00000180818
M04351	HOXC10_04	HOXC10	HOXC10	ENSG00000180818
M04352	HOXC10_05	HOXC10	HOXC10	ENSG00000180818
M04353	HOXC11_03	HOXC11	HOXC11	ENSG00000123388
M04354	HOXC11_04	HOXC11	HOXC11	ENSG00000123388
M04355	HOXC12_03	HOXC12	HOXC12	ENSG00000123407
M04356	HOXC12_04	HOXC12	HOXC12	ENSG00000123407
M04357	HOXC13_03	HOXC13	HOXC13	ENSG00000123364
M04358	HOXC13_04	HOXC13	HOXC13	ENSG00000123364
M04359	HOXD11_03	HOXD11	HOXD11	ENSG00000128713
M04360	HOXD11_04	HOXD11	HOXD11	ENSG00000128713
M04361	HOXD12_03	HOXD12	HOXD12	ENSG00000170178
M04362	HOXD12_04	HOXD12	HOXD12	ENSG00000170178
M04363	HOXD13_03	HOXD13	HOXD13	ENSG00000128714
M04364	HOXD13_04	HOXD13	HOXD13	ENSG00000128714
M04365	HOXD8_03	HOXD8	HOXD8	ENSG00000175879
M04366	HOXA11_03	Hoxa11	HOXA11	ENSG00000005073
M04367	HOXA11_04	Hoxa11	HOXA11	ENSG00000005073
M04368	HOXA2_04	Hoxa2	HOXA2	ENSG00000105996
M04369	HOXC10_06	Hoxc10	HOXC10	ENSG00000180818
M04370	HOXC10_07	Hoxc10	HOXC10	ENSG00000180818
M04371	HOXD13_05	Hoxd13	HOXD13	ENSG00000128714
M04372	HOXD13_06	Hoxd13	HOXD13	ENSG00000128714
M04373	HOXD3_03	Hoxd3	HOXD3	ENSG00000128652
M04374	HOXD9_01	Hoxd9	HOXD9	ENSG00000128709
M04375	HOXD9_02	Hoxd9	HOXD9	ENSG00000128709
M04376	HOXD9_03	Hoxd9	HOXD9	ENSG00000128709
M04377	IRX2_03	IRX2	IRX2	ENSG00000170561
M04378	IRX5_03	IRX5	IRX5	ENSG00000176842
M04379	ISL2_07	ISL2	ISL2	ENSG00000159556
